Filename,Type,Module
`/etc/one/alertmanager/alertmanager.yml`,YAML,Prometheus
`/etc/one/auth/ldap_auth.conf`,YAML w/ ordered array,
`/etc/one/auth/saml_auth.conf`,YAML,
`/etc/one/auth/server_x509_auth.conf`,YAML,
`/etc/one/auth/x509_auth.conf`,YAML,
`/etc/one/cli/*.yaml`,YAML w/ ordered array,
`/etc/one/defaultrc`,Shell,
`/etc/one/fireedge-server.conf`,YAML,
`/etc/one/fireedge/sunstone/*.yaml`,YAML,
`/etc/one/fireedge/sunstone/*/*.yaml`,YAML,
`/etc/one/fireedge/sunstone/*/*/*.yaml`,YAML, 
`/etc/one/fireedge/sunstone/profiles/base.template`,YAML,
`/etc/one/fireedge/sunstone/sunstone-server.conf`,YAML, 
`/etc/one/guacd`,Shell,
`/etc/one/hm/hmrc`,Shell,
`/etc/one/monitord.conf`,oned.conf-like,
`/etc/one/oned.conf`,oned.conf-like,
`/etc/one/oneform-server.conf`,YAML,
/etc/one/oneform.yaml`,YAML,
`/etc/one/oneflow-server.conf`,YAML,
`/etc/one/onegate-server.conf`,YAML,
`/etc/one/onehem-server.conf`,YAML,
`/etc/one/prometheus/prometheus.yml`,YAML,
`/etc/one/prometheus/rules.yml`,YAML,
`/etc/one/fabricmanager.conf`,YAML,
`/etc/one/one-fabricmanager.xml`,YAML,
`/etc/one/schedulers/one_drs.conf`,YAML w/ ordered array,
`/etc/one/schedulers/rank.conf`,oned.conf-like,
`/etc/one/tmrc`,Shell,
`/etc/one/vmm_exec/vmm_exec_kvm.conf`,oned.conf-like,
`/etc/one/vmm_exec/vmm_execrc`,Shell,
`/var/lib/one/remotes/datastore/ceph/ceph.conf`,Shell,
`/var/lib/one/remotes/etc/datastore/ceph/ceph.conf`,Shell,
`/var/lib/one/remotes/etc/datastore/datastore.conf`,Shell, 
`/var/lib/one/remotes/etc/datastore/fs/fs.conf`,Shell,
`/var/lib/one/remotes/etc/im/firecracker-probes.d/probe_db.conf`,YAML,
`/var/lib/one/remotes/etc/im/kvm-probes.d/forecast.conf`,YAML,
`/var/lib/one/remotes/etc/im/kvm-probes.d/guestagent.conf`,YAML,
`/var/lib/one/remotes/etc/im/kvm-probes.d/pci.conf`,YAML,
`/var/lib/one/remotes/etc/im/kvm-probes.d/probe_db.conf`,YAML,
`/var/lib/one/remotes/etc/im/lxc-probes.d/forecast.conf`,YAML,
`/var/lib/one/remotes/etc/im/lxc-probes.d/probe_db.conf`,YAML,
`/var/lib/one/remotes/etc/im/lxd-probes.d/pci.conf`,YAML,
`/var/lib/one/remotes/etc/im/lxd-probes.d/probe_db.conf`,YAML,
`/var/lib/one/remotes/etc/im/qemu-probes.d/pci.conf`,YAML,
`/var/lib/one/remotes/etc/im/qemu-probes.d/probe_db.conf`,YAML,
`/var/lib/one/remotes/etc/market/http/http.conf`,Shell,
`/var/lib/one/remotes/etc/onegate-proxy.conf`,YAML,
`/var/lib/one/remotes/etc/tm/fs_lvm/fs_lvm.conf`,Shell,
`/var/lib/one/remotes/etc/tm/ssh/sshrc`,Shell,
`/var/lib/one/remotes/etc/vmm/firecracker/firecrackerrc`,YAML,
`/var/lib/one/remotes/etc/vmm/kvm/kvmrc`,Shell,
`/var/lib/one/remotes/etc/vmm/lxc/lxcrc`,YAML,
`/var/lib/one/remotes/etc/vmm/lxc/profiles/*`,Plain file (or XML),
`/var/lib/one/remotes/etc/vmm/lxd/lxdrc`,YAML,
`/var/lib/one/remotes/etc/vnm/OpenNebulaNetwork.conf`,YAML,
`/var/lib/one/remotes/vmm/kvm/kvmrc`,Shell,
`/var/lib/one/remotes/vnm/OpenNebulaNetwork.conf`,YAML,
